Gene_name	S1-d0	S2-d0	S3-d0	S4-d0	S5-d0	S6-d0	S7-d0	S8-d0	S9-d0	S10-d0	S1-d10	S2-d10	S3-d10	S4-d10	S5-d10	S6-d10	S7-d10	S8-d10	S9-d10	S10-d10
Cxcl17	2	1	0	3	0	4	4	4	31	9	1	4	3	4	5	0	3	3	6	2
Spag6l	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Ext2	5037	4700	5718	6477	6593	6010	6968	6495	6605	5899	5499	5968	4238	5529	8080	4033	1711	3631	4998	5022
Gm4668	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	3
Fam43a	1043	689	1165	1656	1896	1212	1113	1331	2961	2526	2565	3125	2250	2655	3473	1826	853	1793	2588	2313
Zfp316	602	536	859	996	1031	713	790	1174	1203	942	776	951	730	954	1147	776	298	670	852	688
Plxnc1	998	373	857	1175	2332	1957	1468	1976	1706	2060	1185	1314	1320	1681	1530	1101	378	1429	1189	1536
Gm38407	0	0	0	0	1	2	1	1	13	11	0	1	0	1	1	6	4	3	9	0
Rasgrp1	65	60	32	53	64	14	9	6	13	30	65	40	17	42	72	14	2	8	6	8
Necab1	5	6	5	16	14	11	5	19	6	5	2	9	4	9	10	1	2	2	13	1
Pcbp4	2556	3100	2906	3393	2923	3016	3708	3256	3669	3178	2180	2327	1498	2019	3005	2628	876	2040	2773	2448
Zfp979	17	38	26	49	34	14	21	24	47	25	23	37	37	55	44	8	57	24	39	16
Tdpoz5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmym6	741	807	902	1124	1359	960	1050	1340	1525	1426	999	1351	1018	1320	1468	1366	807	1240	1844	1474
Scgb2b24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3g	101	143	124	204	173	105	131	90	110	115	150	155	97	163	175	182	150	147	162	137
Tmem216	139	125	164	296	237	206	172	175	287	245	244	280	231	366	380	202	87	199	330	231
Rnu11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mccc1	479	454	533	841	898	763	711	811	886	855	750	881	644	924	1063	1292	669	967	1279	1350
Ntn1	874	553	633	374	826	1392	829	747	1342	1670	1049	674	656	542	1083	3527	1143	1746	3079	2297
Ppifos	0	1	0	0	0	0	0	5	2	2	0	0	0	0	1	0	0	1	0	0
Tnn	3005	754	7643	965	3781	12337	9759	18917	7377	11218	465	319	351	224	1071	1553	686	2404	3699	5575
Mak	2	0	0	1	2	12	0	2	8	8	1	4	0	1	3	3	1	1	1	4
Gprin1	32	17	19	18	8	15	25	11	10	7	13	18	12	9	8	6	4	10	8	12
Bin1	2255	2310	2084	3053	3071	3227	3298	3036	3282	2884	2624	2626	1773	2578	3235	2325	946	1801	2689	2558
Olfr1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fn3k	2	1	0	0	12	16	15	26	28	42	13	11	20	22	19	47	13	23	57	43
Rhox2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016L21Rik	786	713	865	1125	1115	1106	1106	1183	1197	1186	835	1046	672	911	1260	1021	434	869	1159	1109
Clec2g	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Lrp4	333	418	720	990	1117	713	1014	1348	1943	1269	694	914	646	871	1012	619	484	696	1406	880
Zfr2	102	70	188	221	196	153	121	362	307	256	313	402	298	389	421	303	161	341	421	394
Gm14164	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Stmn2	44	71	133	349	183	22	51	46	85	31	114	184	65	141	177	7	11	13	26	12
